'NAME','STATE','STARS'
'The Coffee Bean & Tea Leaf','NV','3.0'
'Mulberry Bar','ON','4.5'
'Pizza Hut','ON','2.0'
'Flaming Kitchen','ON','3.0'
'Travel Leaders','OH','4.5'
'Tyler M. Christensen DDS','NV','4.5'
'Sport Clips Haircuts of Chandler','AZ','5.0'
'Fair Oaks Nursery and Garden Center','WI','3.0'
'Pizza Nova','ON','2.5'
'Leisure Lawn','NV','5.0'
'Wesley Bolin Memorial Plaza','AZ','4.5'
'Ana's Nail Boutique & Spa','ON','4.0'
'The Fry','ON','3.5'
'Al-Salam Market & Deli','NC','2.5'
'The Independent','ON','4.5'
'Domino's Pizza','AZ','2.0'
'Tim Hortons','ON','2.0'
'Bachelor Vegas','NV','5.0'
'Game Seven Grill','AZ','2.0'
'Best Western Inn','OH','3.5'
'Wen H. Wang DDS','AZ','5.0'
'Kidz Cuts By Lori','NV','5.0'
'Tea2go','AZ','4.5'
'Express Pizza & Grill','ON','3.0'
'Beauty Nails','ON','3.0'
'Sandcastle Water Park','PA','3.0'
'Auto Action','AZ','2.5'
'Philthy Philly's','ON','4.0'
'Cancun Resort Las Vegas by Diamond Resorts','NV','3.0'
'Eagle Crest Golf Course','NV','3.5'
'AZ International Marketplace','AZ','3.5'
'Dubliner','AZ','3.5'
'Rent-a-Son','ON','4.0'
'URBAN JUNGLE FUN PARK Mesa','AZ','4.0'
'Le Spot St-Denis','QC','3.5'
'Papa John's Pizza','AZ','2.5'
'BCT Flooring and Showers','AZ','1.0'
'Journey Massage Therapy','AZ','5.0'
'RΓ΄tisserie Benny & Co','QC','3.5'
'Smile! Dental Center','PA','4.5'
'S-Bahnhof Stuttgart-Vaihingen','BW','2.0'
'Wendy's','OH','2.5'
'Bruce Trent Park','NV','4.0'
'Futuretel Service Centre','ON','3.5'
'U-Haul Neighborhood Dealer','NV','4.0'
'Mister Vapor','ON','5.0'
'Ulta Beauty','PA','3.5'
'Beaumont Tire & Auto Repair','IL','4.5'
'Matt's Big Breakfast','AZ','3.5'
'Rio Mirage Cafe Y Cantina','AZ','4.0'
'The Body Lab','AZ','4.0'
'Maid 2 B Cleaned','AZ','4.5'
'Ted Wiens Tire & Auto','NV','3.5'
'Jimmy Johns','OH','2.0'
'Rite Aid','PA','2.5'
'Bavette's Steakhouse & Bar','NV','4.5'
'Bridal Fashion Debut','AZ','4.0'
'Zonie Cuts','AZ','5.0'
'La Tapatia Market','NV','5.0'
'Night Market Cleveland','OH','4.0'
'St James Dennis R Physical Therapy','AZ','5.0'
'Jose' and Tony's Mexican Restaurant','PA','2.5'
'Romados','QC','4.0'
'Foothills Sports Medicine Physical Therapy','AZ','3.5'
'Wok Terminal','ON','3.0'
'Culinary Pharmacy','NV','5.0'
'Mike Olbinski Photography','AZ','5.0'
'Steep & Brew West','WI','3.5'
'Politic','CHE','2.5'
'Freeman's Car Stereo','NC','3.5'
'Sorrento Villas','NV','2.5'
'Horizon Safety Training','AZ','5.0'
'Nail Secrets','PA','4.0'
'Eric Andrew Collection At Town Square','NV','5.0'
'Honn-Auto Repair','AZ','4.0'
'Davis Glass and Mirror','NV','4.0'
'L'Oeufrier NDG','QC','4.0'
'Rashers','ON','3.5'
'U.S. Bank','AZ','4.0'
'Showtime Tours','NV','1.5'
'Alliance Urgent Care','AZ','2.5'
'Scottsdale Air Heating & Cooling','AZ','4.5'
'The UPS Store','AZ','3.5'
'Adore Organic Innovation','NV','1.5'
'Action Golf Cart Rentals and Sales','AZ','5.0'
'Deli 194','EDH','3.0'
'Verizon','AZ','2.5'
'South Cove Apartments','NV','3.0'
'Taco Bell','AZ','3.0'
'StΓ¤dtisches Lapidarium','BW','4.5'
'Pho King','ON','2.5'
'Boulangerie Arouch','QC','3.5'
'Centra Food Market','ON','3.0'
'Just Fresh','NC','3.5'
'New Wrap Order','NC','4.5'
'Precision Air & Heating','AZ','2.5'
'Fool','EDH','4.5'
'AT&T','NC','3.0'
'Presotea','ON','3.5'
'Alamo Rent A Car','AZ','4.0'
'August Moon Chinese Restaurant','ON','1.0'
'Men's Ultimate Grooming','AZ','4.0'
'Amazing Las Vegas Comic Con','NV','4.0'
'KFC','ON','2.0'
'China Restaurant','NC','3.0'
'Subway','AZ','3.0'
'Cloud Nine Wellness Spa','AZ','2.0'
'Dunkin' Donuts','NY','1.0'
'Johnny Rockets','PA','2.0'
'Now and Zen Massage Therapy','NV','5.0'
'Kay's Place','AZ','3.5'
'NutWhats','AZ','4.5'
'AL's Donuts','NV','2.5'
'Klondike','QC','2.0'
'Az Family Dentistry','AZ','5.0'
'I'm Board! Games & Family Fun','WI','5.0'
'Superstition Mountain Golf & Country Club','AZ','4.0'
'Fineserve Blind Repair','AZ','3.5'
'Atlas Cinemas','OH','3.5'
'DeLex Realty','AZ','1.5'
'The Dog Hut','WI','5.0'
'Indochino Custom Menswear','ON','3.0'
'My Biz Niche','AZ','5.0'
'Holiday Inn Express & Suites Charlotte NE - University Area','NC','4.0'
'Impressions Tile & Marble','NV','5.0'
'UYVU Nails & Spa','ON','5.0'
'The Nite Owl Barber Shop','ON','4.5'
'Tasteco Supermarket','ON','3.0'
'Metro Bar & Brasserie','EDH','3.0'
'Neubert Painting','OH','2.0'
'Angels Carpet Care','NV','5.0'
'Michael Mina','NV','4.0'
'Nova Era Bakery & Pastry','ON','4.0'
'Arizona Pools and Landscape','AZ','3.5'
'Tlc Wash N Clean','AZ','4.5'
'Vegas Uncork'd: The Grand Tasting','NV','4.0'
'Cracker Barrel Old Country Store','OH','3.5'
'Willie Stouts','ON','3.5'
'GK's Vapor Pub','AZ','5.0'
'Kostial Robert J DDS','AZ','3.5'
'Kingsway Theatre','ON','2.5'
'Jeremy Mueller - State Farm Insurance Agent','AZ','5.0'
'Romy S','BW','4.0'
'Pro-Tech Transmission and Complete Auto Repair','NV','4.5'
'Xpand Realty & Property Management','NV','5.0'
'The House Brasserie','AZ','4.0'
'SpringHill Suites Scottsdale North','AZ','3.5'
'Carquest Auto Parts','NV','4.5'
'Cordonnerie Jiji','QC','2.5'
'Paper Crane','ON','4.5'
'Pet Club - Gilbert','AZ','4.5'
'Nails Up Spa - Highland Creek','NC','2.5'
'Lobos Landscaping','AZ','5.0'
'Kind Family Dentistry','AZ','3.5'
'Caffe Furbo','ON','4.0'
'Jimmy John's','AZ','2.5'
'Vietnam House Art Gallery','EDH','5.0'
'ASU Surplus Property','AZ','3.5'
'La Mie Matinale','QC','4.5'
'Holiday Inn Express Whitby Oshawa','ON','1.5'
'The Foot Of The Walk','EDH','3.0'
'BBQ Express','ON','4.5'
'Subway','AZ','3.0'
'Arizona Goldendoodles','AZ','5.0'
'Granada Lakes Apartments','AZ','2.5'
'H&M','ON','2.5'
'Allegheny Branch YMCA','PA','4.0'
'Glendale Barber Shop','AZ','5.0'
'Peachtree Mall','ON','3.0'
'First Class Limousine Service','PA','4.0'
'Barber Shop Styles','PA','5.0'
'Firehouse Subs Mineral Point','WI','4.0'
'Royal 10 Cigar and Tobacco','OH','4.0'
'NOA Nail Spa','NC','3.0'
'PremiΓ¨re Moisson','QC','4.0'
'NYX Ecigs','ON','4.0'
'Mark Andrew Hair Studio','ON','5.0'
'Econo Lodge Inn & Suites Airport','NC','2.5'
'Ed's Tavern','NC','3.5'
'Tatum Ranch Barbershop','AZ','4.5'
'Po' Boys Restaurant','IL','4.0'
'New Fashion Shop','ON','3.5'
'Madison No Fear Dentistry','WI','4.0'
'Torontoism - Sotheby's International Realty Canada','ON','5.0'
'Beauty By April Russell','AZ','5.0'
'Berrybrook Farm Natural Foods','NC','4.0'
'Lowe's','OH','3.5'
'LensCrafters','NV','3.0'
'Sam's Club Optical','NV','2.0'
'Tire Works Total Car Care','NV','2.5'
'ZM Cycle & Fitness','ON','3.5'
'Western Towing','AZ','2.0'
'Gogh Paint','AZ','5.0'
'Fitness Connection','NC','3.5'
'Bastone Hardware','ON','4.5'
'London Pub Company','ON','2.5'
'Shafa Medical Clinic','AZ','1.5'
'Accord Realty','WI','3.5'
'Village by the Grange','ON','3.5'
'Best Beauty Salon','NV','3.5'
'Trudy's Taxes and Bookkeeping','AZ','5.0'
'The Fox and Firkin','ON','3.0'
'Yuu Beauty & Well Being','MLN','3.5'
'Spudnut Shop Donuts','OH','4.0'
'Shade USA','AZ','2.5'
'Bank of America','AZ','2.0'
'Sun Shade Window Tinting','NV','4.0'
'Toyota of Surprise','AZ','4.0'
'Odd Finds General Store','ON','5.0'
'Davisville Medical Clinic','ON','1.0'
'Burreatos','BW','4.0'
'Neo-Paws International','ON','1.0'
'Moments By Manda','AZ','3.5'
'Small Bar Fort Mill','SC','4.0'
'Estilo 5','NV','5.0'
'T-Mobile','NV','3.0'
'Jake's Auto Repair Service','AZ','4.5'
'Brio Tuscan Grille','AZ','3.5'
'Dogs Day Out','NC','4.0'
'Great Clips','AZ','3.5'
'Shichimi Sushi','ON','3.5'
'Jobin Lave-Auto Enr','QC','2.0'
'Fit4Less','ON','3.5'
'East West Futons','ON','4.5'
'Bill Abbott Chevrolet Buick','IL','3.5'
'Parkwood Apartments','AZ','2.0'
'Joyride Taco House','AZ','4.0'
'MINISO','ON','3.5'
'Watermill Express','AZ','2.0'
'GingerHoney Skin Care','AZ','4.5'
'Hardee's','WI','3.0'
'WellHealth Women's Specialty Care','NV','3.0'
'Green Beanery','ON','3.0'
'Village Inn','AZ','3.0'
'Mr Pide','ON','4.5'
'Xin Jiang Restaurant','ON','3.5'
'Industry Public House','PA','3.5'
'Sonic Drive-In','AZ','2.0'
'La Main D'or','ON','3.5'
'Pet Paradise - Matthews','NC','4.0'
'Ivory Row Bridal','AZ','4.0'
'Pizza Taglio','PA','4.5'
'Biggby Coffee','IL','4.0'
'Mattress Firm Silverstone','AZ','5.0'
'Buffalo Bill Wings','QC','1.5'
'Belmont Cleaners and Laundry','NC','2.0'
'Nine Stories','PA','4.5'
'Noodles & Company','AZ','3.5'
'Craters & Freighters','NC','5.0'
'Affordable Image','AZ','5.0'
'Ameritemps','AZ','1.0'
'Denver's Car Care','AZ','5.0'
'Dignity Health AZ General Hospital Emergency Room - Mesa','AZ','2.5'
'Driftwood Catering','OH','2.0'
'Enterprise Rent-A-Car','AZ','4.0'
'Pizza Studio','ON','5.0'
'Postal Connections','WI','4.0'
'Liberty Nails','AZ','3.0'
'Dependable Dental Services','OH','5.0'
'Rainbow Garden','IL','3.0'
'Level at Sixteenth by Mark-Taylor','AZ','3.5'
'Power Alarm Securities Systems','OH','3.5'
'Jack Astor's Bar & Grill','QC','3.5'
'Ineffable Ca Phe','PA','4.5'
'Music & Arts','AZ','3.0'
'Warrior Wraps','NV','4.5'
'Blue Canyon Kitchen & Tavern','OH','3.5'
'Carrabba's Italian Grill','NC','3.5'
'McDonald's','OH','1.0'
'Nandini Indian Cuisine','AZ','4.0'
'Batter's Box Baseball Cards & Stuff','AZ','5.0'
'Sin City Thai Restaurant','NV','3.5'
'Juno Hair','IL','3.0'
'The Butcher Block','NV','4.5'
'Star Locksmith - Las Vegas','NV','1.0'
'Therapeutic Sole','AZ','5.0'
'Chick-fil-A','NC','4.0'
'57 Cals','QC','4.0'
'Be Fabulous Lash & Laser Clinic','ON','4.5'
'Red Rocks Cafe','NC','4.0'
'Community Pharmacy','WI','4.5'
'Rockledge Fairways Apartments','AZ','2.5'
'Radisson Hotel','ON','2.0'
'Universal Truck Rental','ON','3.0'
'Kens Masonry','AZ','4.0'
'Malik Edward J OD','NV','5.0'
'Pro Nails Spa','SC','2.0'
'Colby Cruiser','AZ','4.5'
'StorageOne Durango & US 95','NV','5.0'
'Ticor Title At Tivoli Village','NV','3.5'
'Junior','QC','3.5'
'The Perfect Scoop & Boba Tea','NV','3.5'
'Bear Arms Firearms','AZ','4.0'
'Dreamcoat Flooring','AZ','1.5'
'Jakarta Cafe','WI','3.0'
'CodaKid','AZ','5.0'
'Starbucks','NV','3.0'
'DarkStar Computing LLC','AZ','5.0'
'Fresh Buffet','NV','2.5'
'Bergeron Engineering','AZ','5.0'
'CN Tower','ON','4.0'
'The Melting Pot - Phoenix','AZ','3.5'
'Harp & Crown','ON','3.0'
'Huntridge Circle Park','NV','2.5'
'Lanterna Restaurant','NYK','5.0'
'Chinatown Foot Reflexology','NV','3.0'
'Brio On Ray','AZ','2.5'
'Moondogs Pub','PA','3.5'
'Babcock Plumbing llc','AZ','5.0'
'Go Organique','QC','2.0'
'Tapas Papa Frita','AZ','3.5'
'Hand In Hand Preschool and Early Development Center','NV','4.0'
'Hawker Bar','ON','3.5'
'Lava Cafe and Hookah Lounge','AZ','4.5'
'Soderberg','EDH','4.0'
'Plumbing Kings','NV','5.0'
'Farmhouse Restaurant At Harvest Market','IL','3.5'
'Perfect Teeth','AZ','3.5'
'Wicker Emporium','ON','3.0'
'Licks Cake Design','EDH','2.5'
'Arizona Physical Therapy Specialists','AZ','5.0'
'Organizing by Marshall','ON','5.0'
'Smashburger','NV','3.5'
'All N One Smoke Shop','AZ','5.0'
'Ichi Ramen House','NV','4.0'
'Pizza Smart Heimservice','BW','3.0'
'#1 Cochran Monroeville Collision Center','PA','2.5'
'Canadian Fingerprinting Services','ON','5.0'
'Sunscreens By Mark','AZ','4.5'
'Avista Senior Living North Mountain','AZ','4.0'
'Discount Cleaners','AZ','3.5'
'Waterstone Mortgage','AZ','4.0'
'Hollywood Smokes And Vapes','NV','4.5'
'Sushi Bar','ON','3.0'
'Edgar Snyder & Associates','PA','3.5'
'King's Barber Shop','IL','4.5'
'Bixi','QC','4.0'
'Dankle Brunson & Lee','IL','3.5'
'Aldi Supermarket','WI','3.5'
'Horizon Eye Specialists & Lasik Center','AZ','3.0'
'Harb Mouchir S MD','NV','1.0'
'Freddy's Frozen Custard & Steakburgers','NC','3.5'
'Hand & Stone Massage and Facial Spa','ON','3.0'
'HellBilly Motorcycles LLC','AZ','4.5'
'Longue Vue Club','PA','4.5'
'Advanced Medical Hair Institute','NV','5.0'
'Retina Associates of Cleveland','OH','5.0'
'Mar-Lou Shoes','OH','4.0'
'B-Boss KTV','ON','3.0'
'Svelte Pro','AZ','5.0'
'Las Vegas Collision Center','NV','5.0'
'The UPS Store','OH','3.0'
'Sonoran Pain Management','AZ','3.0'
'Bruce D SchwartzDDS','AZ','5.0'
'Flare Bar','NV','4.0'
'Wedding Cakes by Rosie','IL','5.0'
'Megan Daugherty At Sachi Salon and Spa','AZ','5.0'
'LV Floor Restoration','NV','5.0'
'Godspeed Brewery','ON','3.5'
'Movado Outlet Store','AZ','2.0'
'AMC Westwood Town Center 6','OH','4.5'
'Fry's Food Stores of Arizona','AZ','3.0'
'Scottsdale Pen and Knife','AZ','4.5'
'One Love Vapors','NV','4.0'
'Canterbury Place','PA','2.5'
'Turn Key Property Solutions','NV','1.5'
'St Joseph's Health Centre','ON','3.0'
'Target Store','WI','3.5'
'Results Only','AZ','5.0'
'Advanced Ankle & Foot','AZ','2.5'
'Myers Park Baptist Church','NC','3.5'
'Marche Kim Hour','QC','3.5'
'Beta Supermarkt','BW','5.0'
'Beauty in Vegas','NV','4.0'
'Pride Auto Glass LLC','AZ','5.0'
'Chatime North York','ON','3.5'
'Richland Cafe','OH','4.0'
'Old Carolina Barbecue Company','OH','3.5'
'Jimmy John's','NC','3.0'
'Sansotei','ON','4.0'
'Lash Dolls LV','NV','5.0'
'Tuck Shop','AZ','4.5'
'In-N-Out Burger','NV','4.0'
'Top Choice Electric','AZ','4.5'
'Perkins Restaurant & Bakery','OH','2.5'
'6 Degrees Studio','ON','4.5'
'HireAWiz Web Design','AZ','5.0'
'Taquizas Kabronis','AZ','4.5'
'Moe's Southwest Grill','NC','2.5'
'Mint Indian Cuisine','AZ','3.5'
'Enterprise Rent-A-Car','OH','5.0'
'Epi Breads','ON','4.0'
'Zone 28','PA','3.0'
'Smashburger','NV','3.0'
'Red Rock Painting','AZ','5.0'
'Diana Meat Groceries','ON','4.5'
'Jersey Mike's Subs','OH','4.0'
'Carly's Bistro','AZ','4.0'
'Barber Shoppe','AZ','5.0'
'Noda Company Store','NC','4.5'
'Findlay Toyota','NV','3.5'
'The Rice Shop','NV','4.5'
'Thrifty Car Rental','ON','1.0'
'Flow Hair Studio','AZ','5.0'
'Delectable Hair Designs by Marcella','NV','5.0'
'York Medical','ON','2.5'
'Chef Flemming's BakeShop','NV','4.5'
'Therapeutic Massage By Beth','PA','5.0'
'Macy's','NV','3.0'
'The Lock Shop','AZ','5.0'
'Bubba Q','EDH','3.5'
'Tobler Physical Therapy','AZ','4.0'
'Main Street Dental Team','ON','3.5'
'Imagine Dental - Ahwatukee','AZ','4.0'
'Pi Co','ON','4.0'
'Circle K','AZ','2.0'
'Climb Camelback','AZ','5.0'
'Sommerhof','BW','4.0'
'Toddy Shop','NV','5.0'
'Puddle Jumper Pool Service LLC','AZ','5.0'
'Staples','AZ','2.5'
'Spinal Care of Nevada','NV','3.5'
'Scott's Half-Price PLumbing','NV','4.0'
'BMW of Henderson','NV','3.5'
'Serenity Spinal Care','NV','5.0'
'Motors & More','NV','5.0'
'Hope House','AZ','2.0'
'The Ivy','AZ','4.0'
'Dunkin' Donuts','PA','2.5'
'Tower 66','BW','3.5'
'Claire's','AZ','2.5'
'Roux','ON','3.5'
'The Little Clinic','AZ','4.0'
'Autobell Car Wash','NC','2.5'
'Modern Furniture Knockoff','ON','2.5'
'Papa Murphy's','WI','2.5'
'The Barber Shop','ON','3.5'
'Mirch Masala','WI','4.0'
'Kopper Popper','OH','5.0'
'Danny's Total Car Care','AZ','3.0'
'First Choice Haircutters','ON','1.5'
'Pittsburgh Eye Care Associates','PA','5.0'
'Maltz Museum of Jewish Heritage','OH','3.0'
'Pride Dental Group DDS','AZ','2.0'
'Decatur & Craig Chiropractic','NV','5.0'
'Pho Asia 39','ON','3.0'
'Deer Valley Counseling - Phoenix','AZ','1.0'
'Fancy Nail Salon','PA','4.0'
'Sun Country Heating and Cooling','NV','4.5'
'Tiffany's Pizza','OH','4.0'
'The Korner Pub','PA','4.5'
'99 Cents Only Stores','AZ','3.5'
'Mobilia','ON','3.5'
'Edgewater Park','OH','4.0'
'National Gallery of Scotland','EDH','5.0'
'Arrowhead Towne Center','AZ','3.5'
'Beauty Calls Nail Salon and Spa','AZ','4.0'
'Lora Moon Styling','AZ','5.0'
'LCBO','ON','4.0'
'Phoenix 360 Personal Training & Nutrition','AZ','4.5'
'Common Grounds','OH','3.5'
'Tokyo Cafe','NV','4.5'
'La Piazza al Forno','AZ','4.0'
'Cousins Subs','AZ','3.5'
'Dream Lawns','NV','5.0'
'Belky's Beauty Salon','NC','4.0'
'BMY Vape','QC','5.0'
'Abby Milord Skin Care','AZ','4.5'
'Maricopa County Clerk Of Superior Court','AZ','4.0'
'AZ Quality Transmissions','AZ','5.0'
'Cityplace Dog's','ON','5.0'
'Monk's Bar & Grill - Verona','WI','3.5'
'Coyote Courier Services','AZ','5.0'
'Tim Horton's','ON','2.0'
'BYTS Computer Repair','AZ','5.0'
'Center for Oral & Maxillofacial Surgery','WI','4.0'
'Spencer N Contracting','ON','4.5'
'Banana Republic','PA','2.0'
'Third Party MVS','AZ','3.0'
'Sheila's Eyebrow Care','ON','4.5'
'Lannick Group','ON','2.0'
'Wynn Fitness Clubs - Downtown Toronto','ON','3.0'
'Bijin Aesthetics','NV','5.0'
'Studio Booth','PA','4.0'
'The Dakota Tavern','ON','4.0'
'Social Security','AZ','2.5'
'Asiaworks','NC','5.0'
'The Corner Espresso','ON','4.0'
'Element Eye Care','NC','3.0'
'KX Yorkville','ON','5.0'
'Jeffrey I. Musler & Associates','NC','3.0'
'McFarling Law Group','NV','4.0'
'J Anthony Salon & Spa','AZ','4.5'
'Safelite AutoGlass','AZ','4.0'
'Dot's Family Restaurant','PA','4.0'
'Panda Express','NV','2.0'
'Bloomy Nails','ON','3.5'
'South Mountain Pool Service','AZ','5.0'
'West Side Market','OH','4.5'
'Sanctuary on Green','OH','4.5'
'McDonald's','PA','1.5'
'Royal Construction Services','AZ','5.0'
'Jamba Juice','AZ','4.0'
'Princes Street','EDH','4.5'
'Wild Eagle Saloon','OH','4.0'
'Pita Pit','ON','3.5'
'Autobell Car Wash','NC','2.0'
'T-Mobile','AZ','5.0'
'Gallery of Framing','OH','3.5'
'Earnhardt Hyundai','AZ','4.5'
'Lox Stock & Bagel','AZ','4.0'
'Hilton Toronto/Markham Suites Conference Centre & Spa','ON','3.0'
'ATI Physical Therapy - Mesa Gilbert','AZ','3.0'
'Fire Department','AZ','4.5'
'1st Bank','AZ','3.5'
'CafΓ© Juicy Lotus','QC','3.5'
'PostNet','SC','4.0'
'TeaGather','ON','4.0'
'Breakfast Club- Scottsdale','AZ','4.0'
'Chipotle Mexican Grill','NV','3.5'
'Laurie RaphaΓ«l','QC','3.5'
'Stereo Installs','OH','5.0'
'Pep & Fodder','EDH','4.0'
'Phoenix Institute of Foot Care Physicians','AZ','3.5'
'Arizona Hair Co','AZ','2.0'
'Craigmillar Library','EDH','3.0'
'Goodyear Auto Service Center','NC','3.0'
'Port Union Bakery','ON','4.0'
'Vip Nails & Spa','WI','3.0'
'Wally Dug','EDH','4.0'
'Hair Duz It','AZ','5.0'
'8 Noodle Bar','NV','3.5'
'The Map Room Grill & Bar','PA','3.5'
'Patriot Mechanical','AZ','2.5'
'Esmeralda Sur-Lac','QC','4.5'
'Augusta Dental','NV','4.5'
'Pittsburgh Indoor Sports Arena','PA','3.5'
'Fred Astaire Dance Studio','AZ','4.0'
'Sonata Apartments','NV','5.0'
'Piper Glen Animal Hospital','NC','4.5'
'Phil's Filling Station Grill','AZ','3.5'
'Hash House A Go Go','NV','3.5'
'Chipotle Mexican Grill','AZ','4.0'
'Sushi In Sushi','ON','3.5'
'Giovanni Sperenza','BW','4.5'
'GoodFellas Collision Center','NV','5.0'
'Circuit Gilles Villeneuve','QC','3.5'
'Tinten NachfΓΌll Express','BW','3.5'
'La Costa Del Sol','NV','3.5'
'Dolphin Bar','NV','4.0'
'Macey's Restaurant','ON','3.5'
'Spirals Hair & Nail Studio','NV','3.0'
'David Klatt - American Family Insurance','AZ','5.0'
'Burn It Build It Fitness','AZ','5.0'
'Petitti Garden Center','OH','3.0'
'Villa Massimo','QC','4.0'
'TWIISTED Burgers & Sushi','OH','4.0'
'Harris & Sons Tree Specialists','AZ','4.5'
'Royal Donut','OH','4.0'
'Slangin' Sound and Tint','AZ','4.5'
'Piza Pizza','AZ','2.5'
'Excell Electrical Services','OH','5.0'
'Hooters','NC','2.5'
'Arizona Federal Credit Union','AZ','3.0'
'Fox 5 KVVU-TV','NV','3.0'
'Custom Tailoring By Cynthia','AZ','5.0'
'lululemon athletica','NC','4.0'
'Nicholas Yale - Brokers HUB Realty','AZ','3.5'
'Sabra Motors','NV','5.0'
'Papa John's Pizza','ON','2.0'
'Cafe De Khan','ON','3.5'
'Madison Jazzercise','WI','5.0'
'Boulangerie De L'ile Bizard','QC','5.0'
'Mazzone & Sons Bakery','OH','4.0'
'Beautiful Edge Photography','AZ','5.0'
'Peaceful Heart','WI','5.0'
'MOD Pizza','AZ','4.0'
'Green Tea Chinese Restaurant','AZ','3.5'
'Cricket Carpet Cleaning','AZ','4.0'
'Desert Valley Chiropractic','AZ','5.0'
'Ohiyo 68 Asian Cuisine','OH','4.5'
'Dollar General','NV','1.5'
'Carnegie Leisure Centre','FIF','2.0'
'Spa Viva','QC','2.0'
'24-7 Locksmith','NV','1.0'
'AAA Warm Springs','NV','4.0'
'Charlotte Vapes','NC','3.0'
'Cook Out','NC','3.0'
'Az Mobile Reflash Diagnostic','AZ','3.0'
'Black Mountain At Henderson Apartments','NV','2.5'
'Big Guys Pizza','PA','3.0'
'Spirit Taekwondo','NV','5.0'
'Peter Piper Pizza','AZ','3.5'
'JDog Junk Removal & Hauling','NV','5.0'
'Christmas Goose Country Gifts & Quilt Shop','NV','4.5'
'Ultimate Laser Tag','ON','3.5'
'Advanced Womens Care of Pittsburgh PC','PA','1.5'
'Hassell Air Conditioning','AZ','5.0'
'Vegas Trike Adventures','NV','4.0'
'Chipotle Mexican Grill','OH','3.0'
'Salon Boutique','AZ','4.0'
'Five Rows Craft Wine','ON','5.0'
'Jack in The Box','AZ','3.0'
'Three Little Birds','NC','3.5'
'Senator John Heinz History Center','PA','4.5'
'Subway','AZ','1.0'
'Cartier','NV','4.0'
'Red Robin Gourmet Burgers','PA','3.0'
'Lowe's Home Improvement','NV','2.5'
'Thousand Nights Hookah Lounge','AZ','4.5'
'Husmann','1','4.5'
'Enix Mechanical','NV','5.0'
'Chalet Bar-B-Q','QC','4.5'
'Switch Restaurant & Wine Bar','AZ','4.0'
'Hypnotic Creations Auto Body','NV','5.0'
'Andre Agassi College Preparatory Academy','NV','5.0'
'Yellowstone Clubhouse','NV','3.0'
'Target Stores','AZ','2.5'
'Portrait Innovations','OH','2.5'
'Local Loaf','NC','4.0'
'The Cavern Bar','ON','3.0'
'Go For Tea','ON','2.5'
'Tissus Regent','QC','2.5'
'Lamesa Filipino Kitchen','ON','4.0'
'Ladah Law Firm PLLC','NV','4.0'
'Aspen Dental','OH','2.5'
'Bethel Park Chiropractic','PA','4.0'
'Dentistry of the Carolinas - SouthPark','NC','4.0'
'Amiable Alterations','NC','4.5'
'99 Ranch Market','NV','3.0'
'McDonald's','ON','3.0'
'Sushi Station','AZ','4.0'
'Pho Kinh Do','NV','4.0'
'Bac Ky Vietnamese Canteen','ON','3.0'
'Los Favoritos Tacos Shop','AZ','3.5'
'Village Salon','NV','5.0'
'Nevada Coin Mart - Jones and Flamingo','NV','4.0'
'Dnm Lawnmower Repair','NV','5.0'
'Francesca's','AZ','4.0'
'The Flyer Distributor','NV','5.0'
'Maple Restaurant','PA','4.0'
'Chasers Bar & Grille','WI','3.5'
