'NAME','NEIGHBORHOOD','ADDRESS','CITY','STATE','POSTALCODE','LATITUDE','LONGITUDE','STARS','REVIEWCOUNT','ISOPEN','CATEGORIES','CHECKINS'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','654'
'Marquee Nightclub & Dayclub','The Strip','3708 S Las Vegas Blvd','Las Vegas','NV','89109','36.109.453','-115.174.223','3.5','2130','1','Music Venues','635'
'Earl of Sandwich','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.082.280.659','-115.171.869','4.5','4869','1','Caterers','630'
'XS Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.280.503.306','-115.164.868.534','4.0','2884','1','Nightlife','629'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','619'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','616'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','603'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','602'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','589'
'Earl of Sandwich','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.082.280.659','-115.171.869','4.5','4869','1','Caterers','582'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','582'
'Egg & I','Westside','4533 W Sahara Ave Ste 5','Las Vegas','NV','89102','361.440.458','-1.152.024.651','4.5','2595','1','Restaurants','581'
'Chase Field','','401 E Jefferson St','Phoenix','AZ','85004','334.453.626','-1.120.674.961','4.0','556','1','Stadiums & Arenas','579'
'Egg & I','Westside','4533 W Sahara Ave Ste 5','Las Vegas','NV','89102','361.440.458','-1.152.024.651','4.5','2595','1','Restaurants','575'
'Mon Ami Gabi','The Strip','3655 Las Vegas Blvd S','Las Vegas','NV','89109','361.128.270.642','-115.172.581.497','4.0','7361','1','French','571'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','569'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','567'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','566'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','554'
'Wicked Spoon','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.538','-11.517.617','3.5','5950','1','Buffets','554'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','551'
'Earl of Sandwich','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.082.280.659','-115.171.869','4.5','4869','1','Caterers','549'
'Marquee Nightclub & Dayclub','The Strip','3708 S Las Vegas Blvd','Las Vegas','NV','89109','36.109.453','-115.174.223','3.5','2130','1','Music Venues','548'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','542'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','540'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','534'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','533'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','533'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','529'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','525'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','524'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','510'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','508'
'Mon Ami Gabi','The Strip','3655 Las Vegas Blvd S','Las Vegas','NV','89109','361.128.270.642','-115.172.581.497','4.0','7361','1','French','497'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','497'
'Wicked Spoon','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.538','-11.517.617','3.5','5950','1','Buffets','496'
'Caesars Palace Las Vegas Hotel & Casino','The Strip','3570 Las Vegas Blvd S','Las Vegas','NV','89109','36.116.765','-115.174.595','3.0','2393','1','Casinos','491'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','491'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','489'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','489'
'Kung Fu Tea','Chinatown','5030 Spring Mountain Rd','Las Vegas','NV','89146','361.270.199.715','-11.520.964.399','4.5','1041','1','Taiwanese','483'
'Mon Ami Gabi','The Strip','3655 Las Vegas Blvd S','Las Vegas','NV','89109','361.128.270.642','-115.172.581.497','4.0','7361','1','French','478'
'Las Vegas North Premium Outlets','Downtown','875 S Grand Central Pkwy','Las Vegas','NV','89106','361.636.507.649','-11.515.774.922','4.0','882','1','Shopping Centers','477'
'The Venetian Las Vegas','The Strip','3355 South Las Vegas Boulevard','Las Vegas','NV','89109','36.121.189','-115.169.657','4.0','3101','1','Casinos','473'
'The Venetian Las Vegas','The Strip','3355 South Las Vegas Boulevard','Las Vegas','NV','89109','36.121.189','-115.169.657','4.0','3101','1','Casinos','473'
'Wasted Grain','','7295 E Stetson Dr','Scottsdale','AZ','85251','334.992.759.128','-111.924.319.542','3.5','149','1','Bars','473'
'Chase Field','','401 E Jefferson St','Phoenix','AZ','85004','334.453.626','-1.120.674.961','4.0','556','1','Stadiums & Arenas','470'
'D'Lite Healthy On The Go','','2613 N Scottsdale Rd','Scottsdale','AZ','85257','33.477.178','-111.925.799','4.5','767','1','Breakfast & Brunch','469'
'Las Vegas North Premium Outlets','Downtown','875 S Grand Central Pkwy','Las Vegas','NV','89106','361.636.507.649','-11.515.774.922','4.0','882','1','Shopping Centers','460'
'Caesars Palace Las Vegas Hotel & Casino','The Strip','3570 Las Vegas Blvd S','Las Vegas','NV','89109','36.116.765','-115.174.595','3.0','2393','1','Casinos','458'
'The Venetian Las Vegas','The Strip','3355 South Las Vegas Boulevard','Las Vegas','NV','89109','36.121.189','-115.169.657','4.0','3101','1','Casinos','455'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','454'
'Egg & I','Westside','4533 W Sahara Ave Ste 5','Las Vegas','NV','89102','361.440.458','-1.152.024.651','4.5','2595','1','Restaurants','451'
'Chase Field','','401 E Jefferson St','Phoenix','AZ','85004','334.453.626','-1.120.674.961','4.0','556','1','Stadiums & Arenas','450'
'Caesars Palace Las Vegas Hotel & Casino','The Strip','3570 Las Vegas Blvd S','Las Vegas','NV','89109','36.116.765','-115.174.595','3.0','2393','1','Casinos','448'
'The Venetian Las Vegas','The Strip','3355 South Las Vegas Boulevard','Las Vegas','NV','89109','36.121.189','-115.169.657','4.0','3101','1','Casinos','443'
'XS Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.280.503.306','-115.164.868.534','4.0','2884','1','Nightlife','441'
'Earl of Sandwich','The Strip','3667 Las Vegas Blvd S','Las Vegas','NV','89109','361.082.280.659','-115.171.869','4.5','4869','1','Caterers','439'
'XS Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.280.503.306','-115.164.868.534','4.0','2884','1','Nightlife','439'
